,job_code,aircraft,transaction_code,malfunction_code,action_taken_code,description_of_problem,correction_of_problem,received_date,completion_date,corrosion,bare_metal,corrosion_prevention_treatment,routine_maintenance,unscheduled_maintenance,mission_related_maintenance,failure
187057,3NT2JYHFA3284291,25,12,070,B,System or component failed ,Removed and Replaced failed part or assembly,10/11/17,10/15/17,,,,,,,Yes
187058,3EA1U8ZFA7319134,25,11,000,0,Perform system or component checks ,Completed the component or system test,11/14/12,11/16/12,,,,Yes,,,
187059,3NT1TLJFA3029035,25,11,000,0,Perform system or component checks ,Completed the component or system test,1/29/17,1/30/17,,,,Yes,,,
187060,3EA2M00FA7245005,25,11,719,R,"A system, component, part, or surface on the aircraft required attention",Removed and replaced system or component,9/2/13,9/2/13,,,,,Yes,,
187061,3NT317SFA3154216,25,12,070,B,System or component worn or broken,Removed and Replaced the system or component,6/3/18,6/5/18,,,,,Yes,,
187062,3EA1LY7FA7228021,25,11,615,F,"A system, component, part, or surface on the aircraft required attention",Observed the area and attempted to repair it,8/21/12,8/21/12,,,,,Yes,,
187063,3EA3Y7OFA7341204,25,11,W41,B,Harness issue found on the aircraft,Repaired the harness,12/7/15,12/7/15,,,,,Yes,,
187064,3EA1TNFFA7310405,25,11,000,0,Perform a periodic inspection,Completed the inspection,11/5/12,11/5/12,,,,Yes,,,
187065,3EA1UYXFA7319A32,25,11,070,C,Wiring issue found on the aircraft,Repaired the wire,11/26/12,11/27/12,,,,,Yes,,
187066,3EA35R7FA7222423,25,11,000,0,Perform a periodic inspection,Completed the inspection,8/10/14,8/11/14,,,,Yes,,,
187067,3EA31ZWFA7162392,25,11,000,0,Perform verification of component or system,Completed the component or system test,6/11/14,6/11/14,,,,Yes,,,
187068,3EA242MFA7064219,25,11,000,0,Perform a periodic inspection,Completed the inspection,3/5/13,3/11/13,,,,Yes,,,
187069,3EA2L50FA7234100,25,11,000,0,Perform a periodic inspection,Completed the inspection,8/22/13,8/22/13,,,,Yes,,,
187070,3NT2H39FA3262332,25,11,956,C,"A system, component, part, or surface on the aircraft required attention",Observed the area and attempted to repair it,9/19/17,9/21/17,,,,,Yes,,
187071,3EA0Y20FA7011013,25,11,000,0,Perform corrosion prevention treatment on the aircraft,Performed corrosion prevention,1/11/12,1/17/12,,,Yes,,,,
187072,3EA146ZFA7062320,25,23,956,R,"A system, component, part, or surface on the aircraft required attention",Removed and replaced system or component,3/2/12,3/2/12,,,,,Yes,,
187073,3EA2L52FA7234100,25,11,000,0,Perform a periodic inspection,Completed the inspection,8/22/13,8/22/13,,,,Yes,,,
187074,3EA28LFFA7119389,25,41,,C,Perform a periodic inspection,Completed the inspection,4/29/13,5/1/13,,,,Yes,,,
187075,3NT1WP3FA3080159,25,47,,C,Perform system or component checks ,Completed the component or system test,3/21/17,3/22/17,,,,Yes,,,
187076,3EA21U7FA7039064,25,11,180,B,Code: UXXUVB was set.,Worked on system component; repair may or may not have been successful,2/8/13,2/12/13,,,,,,,Yes
187077,3EA30HQFA7140401,25,11,956,C,"A system, component, part, or surface on the aircraft required attention",Observed the area and attempted to repair it,5/20/14,5/20/14,,,,,Yes,,
187078,3EA14REFA7067009,25,47,,C,Perform system or component checks ,Completed the component or system test,3/7/12,3/20/12,,,,Yes,,,
187079,3EA1UA7FA7319141,25,11,000,0,Perform corrosion prevention treatment on the aircraft,Performed corrosion prevention,11/14/12,11/14/12,,,Yes,,,,
187080,2X1HL5TFA6301497,25,11,799,A,System or component failed ,Worked on system component; repair may or may not have been successful,10/7/13,10/7/13,,,,,,,Yes
187081,3EA369MFA7226142,25,16,381,P,Aircraft weapon configuration change requested,Aircraft configuration change completed,8/14/14,8/14/14,,,,,,Yes,
187082,361Y4MHFE6007491,25,11,000,N,"A system, component, part, or surface on the aircraft required attention",Observed the area and attempted to repair it,1/7/19,1/8/19,,,,,Yes,,
187083,3EA14VNFA7067108,25,11,799,A,"A system, component, part, or surface on the aircraft required attention",Observed the area and attempted to repair it,3/7/12,3/7/12,,,,,Yes,,
187084,3NT2G4EFA3255511,25,11,255,C,"A system, component, part, or surface on the aircraft required attention",Observed the area and attempted to repair it,9/12/17,9/14/17,,,,,Yes,,
187085,3NT2SNWFA3031461,25,11,956,C,Perform system or component checks ,Completed the component or system test,1/31/18,1/31/18,,,,Yes,,,
187086,3NT2EAFFA3235472,25,11,690,C,"A system, component, part, or surface on the aircraft required attention",Observed the area and attempted to repair it,8/24/17,8/24/17,,,,,Yes,,
187087,3NT324YFA3162579,25,11,000,0,Perform a periodic inspection,Completed the inspection,6/11/18,6/20/18,,,,Yes,,,
187088,3EA1Q6XFA7271514,25,11,000,0,Perform a periodic inspection,Completed the inspection,9/27/12,9/30/12,,,,Yes,,,
187089,3EA2ZCPFA7125358,25,11,000,0,Perform a periodic inspection,Completed the inspection,5/5/14,5/5/14,,,,Yes,,,
