,job_code,aircraft,transaction_code,malfunction_code,action_taken_code,description_of_problem,correction_of_problem,received_date,completion_date,corrosion,bare_metal,corrosion_prevention_treatment,routine_maintenance,unscheduled_maintenance,mission_related_maintenance,failure
55122,3JGXMSBAA6113587,7,11,719,C,System or component worn or broken,Worked on and repaired component/system,4/22/15,4/24/15,,,,,Yes,,
55123,3FU6A7CPA2062393,7,11,F02,C,Code: MQZJHP was set.,Observed the area and attempted to repair it,3/3/17,3/6/17,,,,,Yes,,
55124,3JGYJZPAA6198452,7,11,000,0,Perform a periodic inspection,Completed the inspection,7/17/15,7/18/15,,,,Yes,,,
55125,3JGWYXTAA6043406,7,11,525,C,System or component failed ,Worked on system component; repair may or may not have been successful,2/12/15,2/13/15,,,,,,,Yes
55126,3JGUB3VAA6059194,7,11,000,0,Perform a periodic inspection,Completed the inspection,2/28/14,3/1/14,,,,Yes,,,
55127,3JGZIECAA6295132,7,11,000,0,Perform Weapon Release Check,Jettisoned weapon or performed required check,10/22/15,10/22/15,,,,Yes,,Yes,
55128,3FU8G68PA2022093,7,11,C01,Z,Corrosion found on door panel,Treated and removed the corrosion,1/22/19,1/25/19,Yes,,,,,,
55129,3JH669WAA6100300,7,11,000,0,Perform a periodic inspection,Completed the inspection,4/9/16,4/9/16,,,,Yes,,,
55130,3FU6Y07PA2335120,7,11,C01,Z,Bare Metal found on a door,"Sanded, primed, and painted the bare area",12/1/17,12/4/17,,Yes,,,,,
55131,3JGUEO9AA6073220,7,11,000,0,Aircraft weapon configuration change requested,Aircraft configuration change completed,3/14/14,3/14/14,,,,,,Yes,
55132,3JGXGKMAA6096539,7,11,000,0,Perform a periodic inspection,Completed the inspection,4/6/15,4/8/15,,,,Yes,,,
55133,3JGX5JDAA6067144,7,23,787,R,"A system, component, part, or surface on the aircraft required attention",Removed and replaced system or component,3/8/15,3/9/15,,,,,Yes,,
55134,3FU64TFPA2005123,7,11,410,B,Perform corrosion prevention treatment on the aircraft,Performed corrosion prevention,1/5/17,1/6/17,,,Yes,,,,
55135,3FU64L3PA2004597,7,11,306,C,Perform corrosion prevention treatment on the aircraft,Performed corrosion prevention,1/4/17,1/5/17,,,Yes,,,,
55136,3FU710ZPA2008443,7,11,000,0,Perform a periodic inspection,Completed the inspection,1/8/18,1/11/18,,,,Yes,,,
55137,3FU8R2HPA2083518,7,11,000,0,Perform corrosion prevention treatment on the aircraft,Performed corrosion prevention,3/24/19,3/24/19,,,Yes,,,,
55138,3FU6CAKPA2083478,7,11,C01,Z,Bare Metal found somewhere on the aircraft,"Sanded, primed, and painted the bare area",3/24/17,3/30/17,,Yes,,,,,
55139,3FU71X9PA2016140,7,11,956,C,"A system, component, part, or surface on the aircraft required attention",Removed and replaced system or component,1/16/18,1/23/18,,,,,Yes,,
55140,3FU8GBKPA2023158,7,11,000,0,Perform system or component checks ,Completed the component or system test,1/23/19,1/28/19,,,,Yes,,,
55141,3FU8UKGPA2104375,7,11,429,C,Chipped or worn paint identified on the aircraft,Repair chip and paint the area,4/14/19,4/19/19,,,,Yes,,,
55142,3FU6BA1PA2072494,7,11,000,0,Perform a periodic inspection,Completed the inspection,3/13/17,3/16/17,,,,Yes,,,
55143,3JGUOWHAA6108552,7,11,000,0,Perform a periodic inspection,Completed the inspection,4/18/14,4/18/14,,,,Yes,,,
55144,3FU674RPA2036406,7,11,000,0,Perform a periodic inspection,Completed the inspection,2/5/17,2/5/17,,,,Yes,,,
55145,3FU5S10PA2238311,7,11,020,B,System or component worn or broken,Removed and Replaced the system or component,8/25/16,8/29/16,,,,,Yes,,
55146,3FU5VODPA2265559,7,11,000,0,Perform a periodic inspection,Completed the inspection,9/21/16,9/21/16,,,,Yes,,,
55147,3FU6PAJPA2244167,7,12,020,B,System or component worn or broken,Removed and Replaced the system or component,9/1/17,9/7/17,,,,,Yes,,
55148,3JGZYKTAA6349043,7,11,000,0,Perform verification of component or system,Completed the component or system test,12/15/15,12/21/15,,,,Yes,,,
55149,3JGTFJ5AA6280533,7,11,127,C,"Cable, Wire, or Harness is Chaffed",Observed the area and attempted to repair it,10/7/13,12/4/13,,,,,Yes,,
55150,3FU6XUIPA2334587,7,11,000,0,Perform a periodic inspection,Completed the inspection,11/30/17,12/1/17,,,,Yes,,,
55151,3FU75GTPA2050380,7,11,000,0,Perform a periodic inspection,Completed the inspection,2/19/18,2/22/18,,,,Yes,,,
55152,3FU7S9RPA2226025,7,11,000,0,System or Component is dirty,Cleaned the system or component,8/14/18,8/15/18,,,,Yes,,,
55153,3JH09XSAA6029383,7,11,000,0,Perform a periodic inspection,Completed the inspection,1/29/16,1/29/16,,,,Yes,,,
55154,3JGZZM7AA6355590,7,11,000,0,Perform a periodic inspection,Completed the inspection,12/21/15,12/22/15,,,,Yes,,,
55155,3FU7NO3PA2191016,7,11,000,0,Perform Weapon Release Check,Jettisoned weapon or performed required check,7/10/18,7/11/18,,,,Yes,,Yes,
