,aircraft,squadron,lot,msp,zulu_time,flight_mode
1175521,37, C,116,HPUXVB, 01-APR-2012 20:15:19:50, InFlight
1175522,37, C,116,HPQGXU, 01-APR-2012 20:16:11:50, InFlight
1175523,37, C,116,XUXUJD, 01-APR-2012 21:17:28:80, EngineTurn
1175524,37, C,116,XUXUJD, 01-APR-2012 21:20:09:55, EngineTurn
1175525,37, C,116,HPUXVB, 01-APR-2012 21:20:09:55, EngineTurn
1175526,37, C,116,HPQGXU, 01-APR-2012 21:20:09:55, EngineTurn
1175527,37, C,116,HPUXVB, 01-APR-2012 21:20:09:65, EngineTurn
1175528,37, C,116,HPQGXU, 01-APR-2012 21:20:09:65, EngineTurn
1175529,37, C,116,XUXUJD, 01-APR-2012 21:20:09:65, EngineTurn
1175530,37, C,116,XUXUJD, 01-APR-2012 21:20:11:45, EngineTurn
1175531,37, C,116,HPQGXU, 01-APR-2012 21:20:11:45, EngineTurn
1175532,37, C,116,HPUXVB, 01-APR-2012 21:20:11:45, EngineTurn
1175533,37, C,116,JDHPTL, 01-APR-2014 12:14:21:35, EngineTurn
1175534,37, C,116,JDHPTL, 01-APR-2014 12:15:01:15, EngineTurn
1175535,37, C,116,JDQGVB, 01-APR-2014 12:15:01:45, EngineTurn
1175536,37, C,116,ZJMZTL, 01-APR-2014 12:15:08:45, EngineTurn
1175537,37, C,116,HPUXHP, 01-APR-2014 12:18:35:05, EngineTurn
1175538,37, C,116,HPUXHP, 01-APR-2014 12:20:01:05, EngineTurn
1175539,37, C,116,ZJMZTL, 01-APR-2014 12:20:01:05, EngineTurn
1175540,37, C,116,JDQGVB, 01-APR-2014 12:20:01:15, EngineTurn
1175541,37, C,116,MZUXZJ, 01-APR-2014 12:33:02:25, EngineTurn
1175542,37, C,116,ZJMZTL, 01-APR-2014 12:35:45:30, InFlight
1175543,37, C,116,JDQGVB, 01-APR-2014 12:35:45:30, InFlight
1175544,37, C,116,MZUXZJ, 01-APR-2014 12:35:45:30, InFlight
1175545,37, C,116,HPUXHP, 01-APR-2014 12:35:45:30, InFlight
1175546,37, C,116,JDQGVB, 01-APR-2014 12:53:27:45, EngineTurn
1175547,37, C,116,HPUXHP, 01-APR-2014 12:53:27:45, EngineTurn
1175548,37, C,116,ZJMZTL, 01-APR-2014 12:53:27:45, EngineTurn
1175549,37, C,116,MZUXZJ, 01-APR-2014 12:53:27:45, EngineTurn
1175550,37, C,116,JDQGVB, 01-APR-2014 12:53:27:55, EngineTurn
