,aircraft,squadron,lot,msp,zulu_time,flight_mode
619802,13, RR,107,FVFVXU, 01-APR-2013 12:40:02:75, EngineTurn
619803,13, RR,107,ZJMZTL, 01-APR-2013 12:40:31:65, EngineTurn
619804,13, RR,107,ZJMZTL, 01-APR-2013 12:41:54:65, EngineTurn
619805,13, RR,107,FVFVXU, 01-APR-2013 12:41:57:75, EngineTurn
619806,13, RR,107,ZJMZTL, 01-APR-2013 12:46:50:10, EngineTurn
619807,13, RR,107,FVFVXU, 01-APR-2013 12:46:50:10, EngineTurn
619808,13, RR,107,ZJMZTL, 01-APR-2013 12:52:03:70, EngineTurn
619809,13, RR,107,FVFVXU, 01-APR-2013 12:52:03:70, EngineTurn
619810,13, RR,107,ZJMZTL, 01-APR-2013 13:21:08:05, InFlight
619811,13, RR,107,FVFVXU, 01-APR-2013 13:21:11:95, InFlight
619812,13, RR,107,MZFVXU, 01-APR-2013 13:45:38:05, InFlight
619813,13, RR,107,MZFVFV, 01-APR-2013 13:45:39:05, InFlight
619814,13, RR,107,MZFVVB, 01-APR-2013 14:13:38:05, InFlight
619815,13, RR,107,FVFVXU, 01-APR-2013 16:05:22:75, EngineTurn
619816,13, RR,107,ZJMZTL, 01-APR-2013 16:05:51:65, EngineTurn
619817,13, RR,107,ZJMZTL, 01-APR-2013 16:06:54:65, EngineTurn
619818,13, RR,107,FVFVXU, 01-APR-2013 16:06:57:75, EngineTurn
619819,13, RR,107,ZJMZTL, 01-APR-2013 16:11:31:70, EngineTurn
619820,13, RR,107,FVFVXU, 01-APR-2013 16:11:31:70, EngineTurn
619821,13, RR,107,FVFVXU, 01-APR-2013 16:12:00:90, EngineTurn
619822,13, RR,107,ZJMZTL, 01-APR-2013 16:12:00:90, EngineTurn
619823,13, RR,107,FVFVXU, 01-APR-2013 16:13:34:90, EngineTurn
619824,13, RR,107,ZJMZTL, 01-APR-2013 16:13:34:90, EngineTurn
619825,13, RR,107,ZJMZTL, 01-APR-2013 16:16:07:00, EngineTurn
619826,13, RR,107,FVFVXU, 01-APR-2013 16:16:20:70, EngineTurn
619827,13, RR,107,ZJMZTL, 01-APR-2013 16:16:21:00, EngineTurn
619828,13, RR,107,FVFVXU, 01-APR-2013 16:16:34:90, EngineTurn
619829,13, RR,107,ZJMZTL, 01-APR-2013 16:43:12:05, InFlight
619830,13, RR,107,FVFVXU, 01-APR-2013 16:43:15:95, InFlight
619831,13, RR,107,ZJMZTL, 01-APR-2013 16:46:10:15, InFlight
619832,13, RR,107,FVFVXU, 01-APR-2013 16:46:10:15, InFlight
619833,13, RR,107,FVFVXU, 01-APR-2013 16:57:46:15, InFlight
619834,13, RR,107,ZJMZTL, 01-APR-2013 16:57:46:15, InFlight
619835,13, RR,107,HPQGHP, 01-APR-2013 17:07:53:05, InFlight
619836,13, RR,107,MZFVXU, 01-APR-2013 17:11:20:05, InFlight
619837,13, RR,107,MZFVFV, 01-APR-2013 17:11:21:05, InFlight
619838,13, RR,107,FVFVXU, 01-APR-2013 17:38:36:35, EngineTurn
619839,13, RR,107,MZFVXU, 01-APR-2013 17:38:36:35, EngineTurn
619840,13, RR,107,ZJMZTL, 01-APR-2013 17:38:36:35, EngineTurn
