,job_code,aircraft,transaction_code,malfunction_code,action_taken_code,description_of_problem,correction_of_problem,received_date,completion_date,corrosion,bare_metal,corrosion_prevention_treatment,routine_maintenance,unscheduled_maintenance,mission_related_maintenance,failure
144100,3C7F1RJFE9237076,17,11,170,Z,Corrosion found on the Landing Gear Assembly,Treated and removed the corrosion,8/25/14,9/3/14,Yes,,,,,,
144101,3C7HUYTFE9076244,17,11,000,0,Perform a periodic inspection,Completed the inspection,3/17/19,3/17/19,,,,Yes,,,
144102,3C7FK6GFE9302505,17,11,020,B,System or component worn or broken,Removed and Replaced the system or component,10/26/15,3/4/16,,,,,Yes,,
144103,2X1IBVUFEC285471,17,11,000,0,Perform a periodic inspection,Completed the inspection,10/12/15,10/16/15,,,,Yes,,,
144104,3C7GATDFE9024520,17,11,000,0,Perform a periodic inspection,Completed the inspection,1/24/17,1/24/17,,,,Yes,,,
144105,3C7GOWMFE9249321,17,11,020,C,System or component worn or broken,Worked on and repaired component/system,9/6/17,3/27/18,,,,,Yes,,
144106,3C7FQMFFE9063040,17,11,000,0,Perform a periodic inspection,Completed the inspection,3/3/16,3/4/16,,,,Yes,,,
144107,3C7HBQ7FE9189492,17,11,000,0,Perform a periodic inspection,Completed the inspection,7/8/18,7/10/18,,,,Yes,,,
144108,3C7H4N3FE9128356,17,11,000,0,Perform system or component checks ,Completed the component or system test,5/8/18,5/8/18,,,,Yes,,,
144109,3C7GJAFFE9159451,17,11,000,0,Perform system or component checks ,Completed the component or system test,6/8/17,6/8/17,,,,Yes,,,
144110,3C9OFYFFE9314758,17,11,000,0,Perform a periodic inspection,Completed the inspection,11/10/14,11/11/14,,,,Yes,,,
144111,3C7GGDKFE9117569,17,11,000,0,Perform a periodic inspection,Completed the inspection,4/27/17,5/2/17,,,,Yes,,,
144112,3C7EJFGFE9141336,17,11,087,C,Perform verification of component or system,Completed the component or system test,5/21/13,5/21/13,,,,Yes,,,
144113,3C7HXDTFE9120022,17,23,787,R,System or component worn or broken,Removed and Replaced the system or component,4/30/19,4/30/19,,,,,Yes,,
144114,3C7EP6PFE9247175,17,11,105,C,"A system, component, part, or surface on the aircraft required attention",Removed and replaced system or component,9/4/13,9/5/13,,,,,Yes,,
144115,3C7GLJEFE9047001,17,11,615,C,"A system, component, part, or surface on the aircraft required attention",Observed the area and attempted to repair it,7/26/17,7/27/17,,,,,Yes,,
144116,3C7GAR9FE9022492,17,11,000,0,Perform a periodic inspection,Completed the inspection,1/22/17,1/23/17,,,,Yes,,,
144117,3C7GV30FE9021071,17,11,000,0,Perform a periodic inspection,Completed the inspection,1/21/18,1/25/18,,,,Yes,,,
144118,3C7G0DQFE9230590,17,11,000,0,Perform system or component checks ,Completed the component or system test,8/17/16,8/17/16,,,,Yes,,,
144119,3C7FHTQFE9253265,17,11,374,C,Wiring issue found on the aircraft,Repaired the wire,9/10/15,9/15/15,,,,,Yes,,
144120,3C7F30AFE9300085,17,12,956,B,System or component worn or broken,Removed and Replaced the system or component,10/27/14,10/29/14,,,,,Yes,,
144121,3C7GDI9FE9072584,17,11,000,0,Perform a periodic inspection,Completed the inspection,3/13/17,3/17/17,,,,Yes,,,
144122,3C7F41JFE9341119,17,11,070,C,System or component worn or broken,Worked on and repaired component/system,12/7/14,12/7/14,,,,,Yes,,
144123,3C7HLW5FE9287227,17,11,000,0,Perform a periodic inspection,Completed the inspection,10/14/18,10/14/18,,,,Yes,,,
144124,3C7ERRAFE9322384,17,11,127,C,"A system, component, part, or surface on the aircraft required attention",Observed the area and attempted to repair it,11/18/13,11/19/13,,,,,Yes,,
144125,3C7FGRKFE9237041,17,11,000,0,Perform a periodic inspection,Completed the inspection,8/25/15,9/3/15,,,,Yes,,,
144126,3C7F4X0FE9355034,17,11,000,0,Perform a periodic inspection,Completed the inspection,12/21/14,12/23/14,,,,Yes,,,
144127,3C7FEO5FE9205327,17,11,000,0,Perform a periodic inspection,Completed the inspection,7/24/15,7/24/15,,,,Yes,,,
144128,3C7F5K4FE9020328,17,11,000,0,Perform a periodic inspection,Completed the inspection,1/20/15,2/20/15,,,,Yes,,,
