,job_code,aircraft,transaction_code,malfunction_code,action_taken_code,description_of_problem,correction_of_problem,received_date,completion_date,corrosion,bare_metal,corrosion_prevention_treatment,routine_maintenance,unscheduled_maintenance,mission_related_maintenance,failure
0,29L1HRLP65324239,1,11,000,0,Perform a periodic inspection,Completed the inspection,11/19/12,11/26/12,,,,Yes,,,
1,29L1G6WP65246270,1,11,000,0,Perform corrosion prevention treatment on the aircraft,Performed corrosion prevention,9/2/12,9/3/12,,,Yes,,,,
2,29L1MVAP65126453,1,11,000,0,Perform a periodic inspection,Completed the inspection,5/6/13,5/19/13,,,,Yes,,,
3,3MNC6U7P6G277488,1,11,381,C,"A system, component, part, or surface on the aircraft required attention",Observed the area and attempted to repair it,10/4/18,10/5/18,,,,,Yes,,
4,3TKLETXP62184570,1,11,000,0,Perform a periodic inspection,Completed the inspection,7/3/18,7/3/18,,,,Yes,,,
5,3TKL34FP62234291,1,11,000,0,Perform verification of component or system,Completed the component or system test,8/22/17,8/23/17,,,,Yes,,,
6,29L24UJP65240087,1,11,000,0,"A system, component, part, or surface on the aircraft required attention",Observed the area and attempted to repair it,8/28/14,8/28/14,,,,,Yes,,
7,29L1FR3P65239537,1,11,447,C,"A system, component, part, or surface on the aircraft required attention",Observed the area and attempted to repair it,8/26/12,8/26/12,,,,,Yes,,
8,3TKLB0YP62109015,1,11,000,0,Perform a periodic inspection,Completed the inspection,4/19/18,4/19/18,,,,Yes,,,
9,3MNC24XP6G261110,1,12,282,C,"A system, component, part, or surface on the aircraft required attention",Observed the area and attempted to repair it,9/18/18,9/18/18,,,,,Yes,,
10,29L75JIP65363158,1,11,000,0,Perform a periodic inspection,Completed the inspection,12/28/16,1/2/17,,,,Yes,,,
11,3TMVHAEP62299693,1,11,C01,Z,"A system, component, part, or surface on the aircraft required attention",Observed the area and attempted to repair it,10/26/17,10/27/17,,,,,Yes,,
12,3TKL87FP62045468,1,11,000,0,Perform a periodic inspection,Completed the inspection,2/14/18,2/14/18,,,,Yes,,,
13,29L1VWTP65351424,1,11,000,0,"A system, component, part, or surface on the aircraft required attention",Observed the area and attempted to repair it,12/17/13,12/18/13,,,,,Yes,,
14,29L6OL9P65021207,1,11,282,C,"A system, component, part, or surface on the aircraft required attention",Observed the area and attempted to repair it,1/21/16,1/21/16,,,,,Yes,,
15,29L1SSQP65266005,1,11,000,0,Perform a periodic inspection,Completed the inspection,9/23/13,9/23/13,,,,Yes,,,
16,29NBUHYP65070780,1,11,000,0,Perform a periodic inspection,Completed the inspection,3/11/13,3/12/13,,,,Yes,,,
17,29L1SEDP65256306,1,47,,C,Perform system or component checks ,Completed the component or system test,9/13/13,9/23/13,,,,Yes,,,
18,29L1RBEP65234054,1,11,000,0,Perform a periodic inspection,Completed the inspection,8/22/13,8/22/13,,,,Yes,,,
19,29L1WBCP65005146,1,11,180,B,"A system, component, part, or surface on the aircraft required attention",Removed and replaced system or component,1/5/14,1/5/14,,,,,Yes,,
20,29L1TGUP65283558,1,11,000,0,"A system, component, part, or surface on the aircraft required attention",Observed the area and attempted to repair it,10/10/13,10/10/13,,,,,Yes,,
21,29L1L45P65084221,1,11,000,0,Perform a periodic inspection,Completed the inspection,3/25/13,3/26/13,,,,Yes,,,
22,29L2BDSP65090446,1,11,956,C,Code: RTZJVB was set.,Worked on system component; repair may or may not have been successful,3/31/15,4/5/15,,,,,,,Yes
23,3TMVHAPP62299704,1,11,020,C,System or component worn or broken,Worked on and repaired component/system,10/26/17,10/27/17,,,,,Yes,,
24,29L2DG4P65123484,1,11,000,0,Perform a periodic inspection,Completed the inspection,5/3/15,5/13/15,,,,Yes,,,
25,29L1INWP65353358,1,11,000,0,Bare Metal located on flight control surface,"Sanded, primed, and painted the bare area",12/18/12,12/28/12,,Yes,,,,,
26,29L1SGTP65260347,1,12,020,B,System or component worn or broken,Removed and Replaced the system or component,9/17/13,9/23/13,,,,,Yes,,
27,3TP78OBP62110912,1,11,000,0,Perform a periodic inspection,Completed the inspection,4/20/17,4/20/17,,,,Yes,,,
