,job_code,aircraft,transaction_code,malfunction_code,action_taken_code,description_of_problem,correction_of_problem,received_date,completion_date,corrosion,bare_metal,corrosion_prevention_treatment,routine_maintenance,unscheduled_maintenance,mission_related_maintenance,failure
225461,3LCFSAMPD8221247,30,23,169,R,Bad Battery,Repaired or replaced battery,8/8/16,8/8/16,,,,,Yes,,
225462,3LCFLCAPD8171073,30,11,000,0,Perform a periodic inspection,Completed the inspection,6/19/16,6/25/16,,,,Yes,,,
225463,3LCGC63PD8030077,30,11,000,0,Perform a periodic inspection,Completed the inspection,1/30/17,1/30/17,,,,Yes,,,
225464,3LCJ2K3PD8083468,30,11,000,0,Perform a periodic inspection,Completed the inspection,3/24/19,3/24/19,,,,Yes,,,
225465,3LCGQYVPD8174305,30,11,447,C,"A system, component, part, or surface on the aircraft required attention",Observed the area and attempted to repair it,6/23/17,6/23/17,,,,,Yes,,
225466,3LCCMSCPD8280448,30,11,000,0,Perform a periodic inspection,Completed the inspection,10/7/13,10/7/13,,,,Yes,,,
225467,3LCFHUNPD8145061,30,23,070,R,System or component worn or broken,Removed and Replaced the system or component,5/24/16,5/24/16,,,,,Yes,,
225468,3LCD0UBPD8091442,30,11,000,0,Perform a periodic inspection,Completed the inspection,4/1/14,4/8/14,,,,Yes,,,
225469,3LCFI25PD8146203,30,11,170,Z,Corrosion found on or inside a screw or hole,Treated and removed the corrosion,5/25/16,6/13/16,Yes,,,,,,
225470,3LCFLHSPD8172145,30,11,170,Z,Corrosion identified on a port,Treated and removed the corrosion,6/20/16,6/20/16,Yes,,,,,,
225471,3LCHJUWPD8050163,30,11,020,B,"A system, component, part, or surface on the aircraft required attention",Removed and replaced system or component,2/2/18,2/7/18,,,,,Yes,,
225472,3LCFLWMPD8174337,30,11,000,0,Perform a periodic inspection,Completed the inspection,6/22/16,6/22/16,,,,Yes,,,
225473,3LCEFKEPD8181135,30,11,447,C,"A system, component, part, or surface on the aircraft required attention",Observed the area and attempted to repair it,6/30/15,7/1/15,,,,,Yes,,
225474,3LCEC9QPD8140184,30,41,,A,"A system, component, part, or surface on the aircraft required attention",Observed the area and attempted to repair it,6/6/15,6/7/15,,,,,Yes,,
225475,3LCH2X8PD8265084,30,11,170,Z,Corrosion found on door panel,Treated and removed the corrosion,9/22/17,9/27/17,Yes,,,,,,
225476,3LCIAAEPD8231365,30,11,000,0,Perform a periodic inspection,Completed the inspection,8/19/18,8/22/18,,,,Yes,,,
225477,3LCEZMGPD8326523,30,11,000,0,Perform a periodic inspection,Completed the inspection,11/22/15,11/23/15,,,,Yes,,,
225478,3LCEES3PD8176098,30,11,000,0,Perform corrosion prevention treatment on the aircraft,Performed corrosion prevention,6/25/15,6/25/15,,,Yes,,,,
225479,3LCCTNLPD8344052,30,11,170,Z,Corrosion located on a connector,Treated and removed the corrosion,12/10/13,12/10/13,Yes,,,,,,
225480,3LCCUUOPD8354156,30,11,020,B,System or component worn or broken,Worked on and repaired component/system,12/20/13,1/28/14,,,,,Yes,,
225481,3LCGLOKPD8143343,30,11,170,Z,Bare Metal located on flight control surface,"Sanded, primed, and painted the bare area",5/22/17,5/26/17,,Yes,,,,,
225482,3LCE6RNPD8117045,30,11,000,0,Perform corrosion prevention treatment on the aircraft,Performed corrosion prevention,4/27/15,4/28/15,,,Yes,,,,
225483,3LCFI3GPD8146247,30,12,956,B,"A system, component, part, or surface on the aircraft required attention",Removed and replaced system or component,5/25/16,6/15/16,,,,,Yes,,
225484,3LELUEVPD8077754,30,11,000,0,Perform verification of component or system,Completed the component or system test,3/18/15,3/18/15,,,,Yes,,,
225485,3LCD0UUPD8091470,30,11,170,Z,Corrosion found on the Landing Gear Assembly,Treated and removed the corrosion,4/1/14,4/1/14,Yes,,,,,,
225486,3LCC20GPD8079011,30,11,000,0,Perform a periodic inspection,Completed the inspection,3/20/13,3/21/13,,,,Yes,,,
225487,3LCG7N2PD8341357,30,12,070,B,System or component worn or broken,Removed and Replaced the system or component,12/6/16,12/9/16,,,,,Yes,,
225488,3LCD39WPD8131407,30,11,000,0,Perform a periodic inspection,Completed the inspection,5/11/14,5/11/14,,,,Yes,,,
225489,3LCG028PD8283277,30,11,000,0,Perform a periodic inspection,Completed the inspection,10/9/16,10/15/16,,,,Yes,,,
225490,3LCDU58PD8321271,30,11,255,C,Perform system or component checks ,Completed the component or system test,11/17/14,11/18/14,,,,Yes,,,
225491,3LCHT86PD8116062,30,11,425,C,Chipped or worn paint identified on the aircraft,Repair chip and paint the area,4/26/18,4/30/18,,,,Yes,,,
225492,3LCBQI1PD8295583,30,11,000,0,Chipped or worn paint identified on the aircraft,Repair chip and paint the area,10/21/12,3/4/13,,,,Yes,,,
225493,3LCH85CPD8300547,30,23,282,R,"A system, component, part, or surface on the aircraft required attention",Removed and replaced system or component,10/27/17,10/31/17,,,,,Yes,,
225494,3LCFVSSPD8255111,30,11,000,0,Perform a periodic inspection,Completed the inspection,9/11/16,9/20/16,,,,Yes,,,
225495,3LCH2MEPD8264494,30,11,000,0,Perform system or component checks ,Completed the component or system test,9/21/17,9/21/17,,,,Yes,,,
225496,3LCGFFBPD8059560,30,11,170,Z,Corrosion found on door panel,Treated and removed the corrosion,2/28/17,3/6/17,Yes,,,,,,
225497,3LCDVYXPD8342239,30,23,787,R,System or component worn or broken,Removed and Replaced the system or component,12/8/14,12/9/14,,,,,Yes,,
225498,3LCDAR4PD8190270,30,11,000,0,Perform corrosion prevention treatment on the aircraft,Performed corrosion prevention,7/9/14,7/9/14,,,Yes,,,,
225499,3LCHHOTPD8009285,30,11,956,F,Code: MQXUHP was set.,Worked on system component; repair may or may not have been successful,1/9/18,1/10/18,,,,,,,Yes
225500,3LCFDO6PD8118024,30,11,000,0,Perform a periodic inspection,Completed the inspection,4/27/16,4/28/16,,,,Yes,,,
225501,3LCCW5TPD8012592,30,11,000,0,Perform a periodic inspection,Completed the inspection,1/12/14,1/21/14,,,,Yes,,,
225502,3LCF54APD8032370,30,11,000,0,"A system, component, part, or surface on the aircraft required attention",Observed the area and attempted to repair it,2/1/16,2/1/16,,,,,Yes,,
225503,3LCD1KYPD8118415,30,11,170,Z,Corrosion found somewhere on the aircraft ,Treated and removed the corrosion,4/28/14,6/2/14,Yes,,,,,,
225504,3LCGG8HPD8068121,30,23,787,R,System or component worn or broken,Removed and Replaced the system or component,3/9/17,3/9/17,,,,,Yes,,
225505,3LCCMSEPD8280448,30,11,000,0,Perform a periodic inspection,Completed the inspection,10/7/13,10/13/13,,,,Yes,,,
225506,3LCFRKGPD8214317,30,11,000,0,Perform a periodic inspection,Completed the inspection,8/1/16,8/8/16,,,,Yes,,,
225507,3LCHR9MPD8100120,30,11,956,A,"A system, component, part, or surface on the aircraft required attention",Observed the area and attempted to repair it,4/10/18,4/11/18,,,,,Yes,,
225508,3LCHJ6VPD8027126,30,11,000,0,Perform a periodic inspection,Completed the inspection,1/27/18,2/1/18,,,,Yes,,,
225509,3LCDAH0PD8188060,30,11,000,0,Perform a periodic inspection,Completed the inspection,7/7/14,7/8/14,,,,Yes,,,
225510,3LCIAAGPD8231366,30,11,000,0,Perform a periodic inspection,Completed the inspection,8/19/18,8/26/18,,,,Yes,,,
225511,3LCGJJ5PD8118364,30,47,,C,Perform system or component checks ,Completed the component or system test,4/28/17,5/21/17,,,,Yes,,,
225512,3LCHC03PD8317032,30,11,170,Z,Bare Metal found in or around the canopy and cockpit,"Sanded, primed, and painted the bare area",11/13/17,11/20/17,,Yes,,,,,
225513,3LCHWO6PD8138600,30,16,787,P,"A system, component, part, or surface on the aircraft required attention",Removed and replaced system or component,5/18/18,5/18/18,,,,,Yes,,
225514,3LCIOVKPD8314329,30,11,000,0,Perform system or component checks ,Completed the component or system test,11/10/18,11/10/18,,,,Yes,,,
225515,3LCIK97PD8290564,30,11,000,0,System or Component is dirty,Cleaned the system or component,10/17/18,10/18/18,,,,Yes,,,
225516,3LCIY8APD8051232,30,11,000,0,Perform corrosion prevention treatment on the aircraft,Performed corrosion prevention,2/20/19,2/20/19,,,Yes,,,,
225517,3LCD8TNPD8175158,30,11,956,C,Aircraft weapon configuration change requested,Aircraft configuration change completed,6/24/14,6/25/14,,,,,,Yes,
225518,3LCGE33PD8050299,30,11,000,0,Perform a periodic inspection,Completed the inspection,2/19/17,3/1/17,,,,Yes,,,
225519,3LCESU1PD8286166,30,11,000,0,Perform a periodic inspection,Completed the inspection,10/13/15,10/24/15,,,,Yes,,,
225520,3LCG6LNPD8332414,30,11,000,0,Perform a periodic inspection,Completed the inspection,11/27/16,11/27/16,,,,Yes,,,
225521,3LCFLHTPD8172146,30,11,170,Z,Corrosion found on the Landing Gear Assembly,Treated and removed the corrosion,6/20/16,6/20/16,Yes,,,,,,
225522,3LCH7VLPD8298281,30,11,000,0,Perform verification of component or system,Completed the component or system test,10/25/17,10/25/17,,,,Yes,,,
225523,3LCI5U3PD8216374,30,11,000,0,Perform a periodic inspection,Completed the inspection,7/15/18,7/22/18,,,,Yes,,,
225524,3LCBVEEPD8344071,30,11,000,0,Perform a periodic inspection,Completed the inspection,12/9/12,12/10/12,,,,Yes,,,
225525,3LCEQRTPD8266181,30,11,000,0,Perform a periodic inspection,Completed the inspection,9/23/15,9/23/15,,,,Yes,,,
225526,3LCG66SPD8320304,30,11,257,B,"A system, component, part, or surface on the aircraft required attention",Observed the area and attempted to repair it,11/15/16,12/28/16,,,,,Yes,,
225527,3LCE6XHPD8118152,30,11,170,Z,Corrosion found on door panel,Treated and removed the corrosion,4/28/15,4/29/15,Yes,,,,,,
225528,3LCHZ8YPD8161354,30,11,127,A,"A system, component, part, or surface on the aircraft required attention",Observed the area and attempted to repair it,6/10/18,6/11/18,,,,,Yes,,
225529,3LCIHG1PD8273321,30,11,000,0,Perform a periodic inspection,Completed the inspection,9/30/18,9/30/18,,,,Yes,,,
225530,3LCEF88PD8179532,30,11,000,0,Perform a periodic inspection,Completed the inspection,6/28/15,7/2/15,,,,Yes,,,
225531,3LCEGLKPD8189099,30,11,105,C,"A system, component, part, or surface on the aircraft required attention",Observed the area and attempted to repair it,7/8/15,7/9/15,,,,,Yes,,
