,job_code,aircraft,transaction_code,malfunction_code,action_taken_code,description_of_problem,correction_of_problem,received_date,completion_date,corrosion,bare_metal,corrosion_prevention_treatment,routine_maintenance,unscheduled_maintenance,mission_related_maintenance,failure
350582,3EA2WJZFA7054478,44,11,000,0,Perform a periodic inspection,Completed the inspection,2/23/14,3/4/14,,,,Yes,,,
350583,3NSY3YIFA3102506,44,11,780,B,"A system, component, part, or surface on the aircraft required attention",Removed and replaced system or component,4/11/12,4/30/12,,,,,Yes,,
350584,3NT109LFA3271288,44,11,000,0,Perform system or component checks ,Completed the component or system test,9/28/15,9/28/15,,,,Yes,,,
350585,3NSY77KFA3125428,44,11,447,B,"A system, component, part, or surface on the aircraft required attention",Observed the area and attempted to repair it,5/4/12,5/9/12,,,,,Yes,,
350586,3NT19JAFA3064225,44,23,381,R,"A system, component, part, or surface on the aircraft required attention",Observed the area and attempted to repair it,3/3/16,3/10/16,,,,,Yes,,
350587,3NT1FT0FA3173343,44,11,000,0,Perform verification of component or system,Completed the component or system test,6/21/16,6/22/16,,,,Yes,,,
350588,3NSYHDBFA3218062,44,11,000,0,Perform a periodic inspection,Completed the inspection,8/5/12,8/5/12,,,,Yes,,,
350589,3EA3OIVFA7183213,44,11,000,0,Perform an aircraft transfer or acceptance inspection,Completed the inspection,7/2/15,7/2/15,,,,Yes,,,
350590,3NT0YIUFA3258551,44,11,000,N,Perform a phase inspection,Completed the inspection,9/10/15,3/17/16,,,,Yes,,,
350591,3NSY1TWFA3071A34,44,11,070,C,"A system, component, part, or surface on the aircraft required attention",Removed and replaced system or component,3/26/12,4/12/12,,,,,Yes,,
350592,3NT1LWZFA3266162,44,47,,P,Perform system or component checks ,Completed the component or system test,9/22/16,9/22/16,,,,Yes,,,
350593,3NT1BVCFA3118183,44,11,000,N,Perform a periodic inspection,Completed the inspection,4/26/16,1/27/17,,,,Yes,,,
350594,3EA3SGGFA7233187,44,11,000,0,Perform a periodic inspection,Completed the inspection,8/21/15,8/22/15,,,,Yes,,,
350595,3NT1PSNFA3346491,44,11,000,0,Perform a periodic inspection,Completed the inspection,12/11/16,12/13/16,,,,Yes,,,
350596,3EA3RC4FA7221598,44,11,020,B,"A system, component, part, or surface on the aircraft required attention",Observed the area and attempted to repair it,8/9/15,8/16/15,,,,,Yes,,
350597,3NSXRCLFA3002007,44,11,000,0,Perform a periodic inspection,Completed the inspection,1/2/12,1/6/12,,,,Yes,,,
350598,3EA531IFA7028565,44,12,000,0,Perform a periodic inspection,Completed the inspection,1/28/17,2/8/17,,,,Yes,,,
350599,3NT16G1FA3014303,44,11,000,0,Perform verification of component or system,Completed the component or system test,1/14/16,1/14/16,,,,Yes,,,
350600,3EA1PUCFA7264393,44,11,000,0,Perform a periodic inspection,Completed the inspection,9/20/12,9/20/12,,,,Yes,,,
350601,3NT18G4FA3044441,44,11,000,0,Perform corrosion prevention treatment on the aircraft,Performed corrosion prevention,2/13/16,2/13/16,,,Yes,,,,
350602,3EA2HKUFA7197117,44,11,381,C,"A system, component, part, or surface on the aircraft required attention",Observed the area and attempted to repair it,7/17/13,7/17/13,,,,,Yes,,
350603,3NT16BNFA3012237,44,11,000,0,Perform verification of component or system,Completed the component or system test,1/12/16,1/25/16,,,,Yes,,,
350604,2X1IEFIFAA292452,44,11,000,N,Perform a phase inspection,Completed the inspection,3/17/16,4/26/16,,,,Yes,,,
350605,3NT1H8RFA3192403,44,11,000,0,Perform a periodic inspection,Completed the inspection,7/10/16,7/31/16,,,,Yes,,,
350606,3NSYEO0FA3190389,44,11,000,0,Perform system or component checks ,Completed the component or system test,7/8/12,7/9/12,,,,Yes,,,
350607,3ECBWVAFA7100802,44,11,956,C,"A system, component, part, or surface on the aircraft required attention",Observed the area and attempted to repair it,4/10/14,4/10/14,,,,,Yes,,
350608,3EA2D50FA7153221,44,11,000,0,Perform system or component checks ,Completed the component or system test,6/2/13,6/24/13,,,,Yes,,,
350609,3EA3RDUFA7222045,44,11,000,N,Bare Metal located on flight control surface,"Sanded, primed, and painted the bare area",8/10/15,9/10/15,,Yes,,,,,
