,job_code,aircraft,transaction_code,malfunction_code,action_taken_code,description_of_problem,correction_of_problem,received_date,completion_date,corrosion,bare_metal,corrosion_prevention_treatment,routine_maintenance,unscheduled_maintenance,mission_related_maintenance,failure
149512,3C7G0T7FE9234134,18,11,000,0,Perform a periodic inspection,Completed the inspection,8/21/16,8/21/16,,,,Yes,,,
149513,3C7F7PVFE9068580,18,11,000,0,Perform system or component checks ,Completed the component or system test,3/9/15,3/10/15,,,,Yes,,,
149514,3C7GL49FE9192B11,18,23,350,R,System or component worn or broken,Removed and Replaced the system or component,7/20/17,7/20/17,,,,,Yes,,
149515,3C9OGJ6FE9327957,18,12,180,B,"A system, component, part, or surface on the aircraft required attention",Removed and replaced system or component,11/23/14,11/23/14,,,,,Yes,,
149516,2X1IRIZFEC258050,18,11,070,R,System or component worn or broken,Removed and Replaced the system or component,3/25/17,3/27/17,,,,,Yes,,
149517,3C7F17UFE9230287,18,11,000,0,Perform a periodic inspection,Completed the inspection,8/18/14,8/18/14,,,,Yes,,,
149518,3C7G44QFE9275271,18,11,000,0,Perform a periodic inspection,Completed the inspection,10/1/16,10/3/16,,,,Yes,,,
149519,2X1IS3AFEC258090,18,11,447,C,"A system, component, part, or surface on the aircraft required attention",Observed the area and attempted to repair it,3/28/17,3/28/17,,,,,Yes,,
149520,3C7EX6DFE9129132,18,11,000,N,Perform a periodic inspection,Completed the inspection,5/9/14,3/24/17,,,,Yes,,,
149521,3C7G9ZQFE9002212,18,11,000,0,Perform a periodic inspection,Completed the inspection,1/2/17,1/3/17,,,,Yes,,,
149522,3C7FNZNFE9024432,18,11,000,0,Perform a periodic inspection,Completed the inspection,1/24/16,1/28/16,,,,Yes,,,
149523,3C7GCRWFE9061310,18,23,956,R,Component or part failure,Removed and Replaced failed part or assembly,3/2/17,3/16/17,,,,,Yes,,Yes
149524,3C7FN4BFE9003486,18,11,000,0,Perform a periodic inspection,Completed the inspection,1/3/16,1/4/16,,,,Yes,,,
149525,3C7GDPCFE9074086,18,11,000,0,Perform an aircraft transfer or acceptance inspection,Completed the inspection,3/15/17,3/17/17,,,,Yes,,,
149526,3C7F15FFE9230259,18,11,000,0,Perform a periodic inspection,Completed the inspection,8/18/14,8/18/14,,,,Yes,,,
149527,3C7GVT4FE9029489,18,11,447,C,"A system, component, part, or surface on the aircraft required attention",Observed the area and attempted to repair it,1/29/18,1/30/18,,,,,Yes,,
149528,3C7EWHVFE9090250,18,11,000,0,Perform a periodic inspection,Completed the inspection,3/31/14,3/31/14,,,,Yes,,,
149529,3C7FPMVFE9049144,18,11,000,0,Perform a periodic inspection,Completed the inspection,2/18/16,2/25/16,,,,Yes,,,
149530,3C7FT7CFE9126318,18,47,,C,Perform system or component checks ,Completed the component or system test,5/5/16,5/5/16,,,,Yes,,,
149531,2X1IRHDFEC258019,18,11,000,0,Perform an aircraft transfer or acceptance inspection,Completed the inspection,3/24/17,3/29/17,,,,Yes,,,
149532,3C7FXUHFE9187276,18,11,000,0,Perform a periodic inspection,Completed the inspection,7/5/16,7/6/16,,,,Yes,,,
149533,3C7F7NLFE9063522,18,23,956,R,"A system, component, part, or surface on the aircraft required attention",Removed and replaced system or component,3/8/15,3/10/15,,,,,Yes,,
149534,3C7FZGJFE9207217,18,11,000,0,Perform a periodic inspection,Completed the inspection,7/25/16,7/26/16,,,,Yes,,,
149535,3C7F5YSFE9026470,18,11,000,0,Perform a periodic inspection,Completed the inspection,1/26/15,1/26/15,,,,Yes,,,
149536,3C7FFFKFE9216586,18,11,000,0,Perform a periodic inspection,Completed the inspection,8/4/15,8/4/15,,,,Yes,,,
