,job_code,aircraft,transaction_code,malfunction_code,action_taken_code,description_of_problem,correction_of_problem,received_date,completion_date,corrosion,bare_metal,corrosion_prevention_treatment,routine_maintenance,unscheduled_maintenance,mission_related_maintenance,failure
70142,3BTP27PPE3014507,9,11,170,Z,Bare Metal located on fastners or panels,"Sanded, primed, and painted the bare area",1/14/15,1/15/15,,Yes,,,,,
70143,3U0ZHTXPD4166170,9,23,787,R,System or component worn or broken,Removed and Replaced the system or component,6/14/16,6/14/16,,,,,Yes,,
70144,3U0ZNNHPD4278156,9,11,000,0,Perform corrosion prevention treatment on the aircraft,Performed corrosion prevention,10/4/16,10/4/16,,,Yes,,,,
70145,3BTPHNPPE3067298,9,11,000,0,Perform a periodic inspection,Completed the inspection,3/8/15,3/31/15,,,,Yes,,,
70146,3BTP4U6PE3023390,9,11,935,C,"A system, component, part, or surface on the aircraft required attention",Observed the area and attempted to repair it,1/23/15,1/24/15,,,,,Yes,,
70147,3U0ZHE1PD4154410,9,11,000,0,Perform a periodic inspection,Completed the inspection,6/2/16,6/3/16,,,,Yes,,,
70148,3U20H1XPD4263081,9,11,000,0,Perform a periodic inspection,Completed the inspection,9/20/17,9/24/17,,,,Yes,,,
70149,3BU2FEPPE3116543,9,11,000,0,Perform a periodic inspection,Completed the inspection,4/26/19,4/26/19,,,,Yes,,,
70150,3U20ATNPD4209413,9,11,000,0,Perform Weapon Release Check,Jettisoned weapon or performed required check,7/28/17,8/8/17,,,,Yes,,Yes,
70151,3BTSE3VPE3013328,9,11,170,Z,Bare Metal located on fastners or panels,"Sanded, primed, and painted the bare area",1/13/16,1/15/16,,Yes,,,,,
70152,3BTTC99PE3094525,9,11,000,0,Perform a periodic inspection,Completed the inspection,4/3/16,4/7/16,,,,Yes,,,
70153,3BTOH91PE3294233,9,11,000,0,Perform a periodic inspection,Completed the inspection,10/21/14,11/4/14,,,,Yes,,,
70154,3U20WI5PD4007183,9,11,956,C,"A system, component, part, or surface on the aircraft required attention",Observed the area and attempted to repair it,1/7/18,1/20/18,,,,,Yes,,
70155,3BU0I4NPE3203573,9,11,000,0,Perform a periodic inspection,Completed the inspection,7/22/18,7/30/18,,,,Yes,,,
70156,3BTT3SKPE3071369,9,11,020,C,System or component worn or broken,Worked on and repaired component/system,3/11/16,3/16/16,,,,,Yes,,
70157,3BTRWXRPE3313442,9,11,170,Z,Bare Metal located on fastners or panels,"Sanded, primed, and painted the bare area",11/8/15,11/19/15,,Yes,,,,,
70158,3U0ZLL9PD4250108,9,11,000,0,Perform a periodic inspection,Completed the inspection,9/6/16,9/9/16,,,,Yes,,,
70159,3U1ZWURPD4075105,9,11,425,C,"A system, component, part, or surface on the aircraft required attention",Observed the area and attempted to repair it,3/16/17,3/19/17,,,,,Yes,,
70160,3U20WMGPD4008202,9,11,000,0,Perform a periodic inspection,Completed the inspection,1/8/18,1/8/18,,,,Yes,,,
70161,3C0CSC1PE3098623,9,11,000,0,Perform a periodic inspection,Completed the inspection,4/8/19,4/9/19,,,,Yes,,,
70162,3U21EXVPD4149055,9,11,000,0,Perform a periodic inspection,Completed the inspection,5/29/18,5/30/18,,,,Yes,,,
70163,3U20GHRPD4256421,9,11,381,Y,"A system, component, part, or surface on the aircraft required attention",Observed the area and attempted to repair it,8/30/17,9/14/17,,,,,Yes,,
70164,3BU1OAAPE3007137,9,11,000,0,Perform a periodic inspection,Completed the inspection,1/7/19,1/11/19,,,,Yes,,,
70165,3BTO8QJPE3273223,9,11,000,0,"A system, component, part, or surface on the aircraft required attention",Observed the area and attempted to repair it,9/30/14,10/1/14,,,,,Yes,,
