,job_code,aircraft,transaction_code,malfunction_code,action_taken_code,description_of_problem,correction_of_problem,received_date,completion_date,corrosion,bare_metal,corrosion_prevention_treatment,routine_maintenance,unscheduled_maintenance,mission_related_maintenance,failure
278107,3MN7JWSP6G001207,35,11,000,0,Perform a periodic inspection,Completed the inspection,1/1/17,1/5/17,,,,Yes,,,
278108,3DW2VRWP6D188018,35,11,127,B,"A system, component, part, or surface on the aircraft required attention",Observed the area and attempted to repair it,7/7/17,7/20/17,,,,,Yes,,
278109,3DYBV5SP6D063800,35,11,000,0,Perform a periodic inspection,Completed the inspection,3/4/19,3/6/19,,,,Yes,,,
278110,3DW45PIP6D093087,35,23,787,R,System or component worn or broken,Removed and Replaced the system or component,4/3/19,4/4/19,,,,,Yes,,
278111,3MN40VBP6G067077,35,11,425,C,"A system, component, part, or surface on the aircraft required attention",Observed the area and attempted to repair it,3/8/15,3/9/15,,,,,Yes,,
278112,3MN3UXHP6G040471,35,11,000,0,Perform a periodic inspection,Completed the inspection,2/9/15,2/9/15,,,,Yes,,,
278113,3DW3UGIP6D284365,35,12,020,B,"A system, component, part, or surface on the aircraft required attention",Removed and replaced system or component,10/11/18,10/17/18,,,,,Yes,,
278114,3MN57EFP6G274283,35,12,020,B,System or component worn or broken,Removed and Replaced the system or component,10/1/15,10/5/15,,,,,Yes,,
278115,3MN5NT2P6G008356,35,11,W48,C,Wiring issue found on the aircraft,Repaired the wire,1/8/16,1/8/16,,,,,Yes,,
278116,3MN5CNDP6G302364,35,11,000,0,Perform a periodic inspection,Completed the inspection,10/29/15,10/30/15,,,,Yes,,,
278117,3DW39X6P6D032014,35,11,000,0,Perform a periodic inspection,Completed the inspection,2/1/18,2/1/18,,,,Yes,,,
278118,3MN2OZLP6G174254,35,11,425,C,Chipped or worn paint identified on the aircraft,Repair chip and paint the area,6/23/14,6/24/14,,,,Yes,,,
278119,3MN3QWPP6G015325,35,23,787,R,System or component worn or broken,Removed and Replaced the system or component,1/15/15,1/16/15,,,,,Yes,,
278120,3MN4WAKP6G217439,35,11,000,0,"A system, component, part, or surface on the aircraft required attention",Observed the area and attempted to repair it,8/5/15,8/5/15,,,,,Yes,,
278121,3DW2WTUP6D197386,35,11,000,0,Perform a periodic inspection,Completed the inspection,7/16/17,7/21/17,,,,Yes,,,
278122,3MN46XHP6G093300,35,11,000,0,System or Component is dirty,Cleaned the system or component,4/3/15,4/3/15,,,,Yes,,,
278123,3MN529AP6G250256,35,11,000,0,Perform Weapon Release Check,Jettisoned weapon or performed required check,9/7/15,9/7/15,,,,Yes,,Yes,
278124,3MN2L8PP6G155151,35,11,000,0,"A system, component, part, or surface on the aircraft required attention",Observed the area and attempted to repair it,6/4/14,6/4/14,,,,,Yes,,
278125,3MN3O5AP6G004436,35,11,525,B,"A system, component, part, or surface on the aircraft required attention",Removed and replaced system or component,1/4/15,1/11/15,,,,,Yes,,
278126,3MN5PB8P6G019171,35,11,306,A,"A system, component, part, or surface on the aircraft required attention",Observed the area and attempted to repair it,1/19/16,1/19/16,,,,,Yes,,
278127,3MN3YMNP6G058571,35,12,696,B,"A system, component, part, or surface on the aircraft required attention",Observed the area and attempted to repair it,2/27/15,2/27/15,,,,,Yes,,
278128,3MN767BP6G287343,35,11,425,C,Chipped or worn paint identified on the aircraft,Repair chip and paint the area,10/13/16,10/13/16,,,,Yes,,,
278129,3DW43J2P6D050515,35,11,000,0,Perform a periodic inspection,Completed the inspection,2/19/19,2/19/19,,,,Yes,,,
278130,3DW3BO6P6D070551,35,11,000,0,"A system, component, part, or surface on the aircraft required attention",Observed the area and attempted to repair it,3/11/18,3/12/18,,,,,Yes,,
278131,3DW2PM4P6D102358,35,47,,C,Perform a periodic inspection,Completed the inspection,4/12/17,4/12/17,,,,Yes,,,
278132,3MN6YAOP6G244520,35,11,000,0,Chipped or worn paint identified on the aircraft,Repair chip and paint the area,8/31/16,8/31/16,,,,Yes,,,
278133,3DW40F1P6D002489,35,11,000,0,Perform a periodic inspection,Completed the inspection,1/2/19,1/2/19,,,,Yes,,,
278134,3MN40VSP6G067080,35,11,000,0,Perform verification of component or system,Completed the component or system test,3/8/15,3/9/15,,,,Yes,,,
278135,3DW3MYTP6D207453,35,11,070,C,Perform a periodic inspection,Completed the inspection,7/25/18,8/1/18,,,,Yes,,,
278136,3DW3OCEP6D230145,35,11,000,0,Perform a periodic inspection,Completed the inspection,8/18/18,8/18/18,,,,Yes,,,
278137,3MN5TTIP6G043325,35,11,020,N,System or component worn or broken,Worked on and repaired component/system,2/12/16,2/12/16,,,,,Yes,,
278138,3DW36A7P6D319191,35,11,000,0,Perform a periodic inspection,Completed the inspection,11/15/17,11/17/17,,,,Yes,,,
278139,3MN3M9PP6G355248,35,11,105,B,"A system, component, part, or surface on the aircraft required attention",Observed the area and attempted to repair it,12/21/14,12/21/14,,,,,Yes,,
278140,3DW36BOP6D320225,35,11,020,B,System or component worn or broken,Removed and Replaced the system or component,11/16/17,11/17/17,,,,,Yes,,
278141,3DW3NFZP6D214181,35,11,429,C,Chipped or worn paint identified on the aircraft,Repair chip and paint the area,8/2/18,8/4/18,,,,Yes,,,
278142,3MN4TENP6G202581,35,11,000,N,"A system, component, part, or surface on the aircraft required attention",Observed the area and attempted to repair it,7/21/15,10/26/16,,,,,Yes,,
278143,3DW41CDP6D016086,35,11,020,C,System or component worn or broken,Worked on and repaired component/system,1/16/19,2/12/19,,,,,Yes,,
278144,3MN34BVP6G256297,35,11,000,0,Perform a periodic inspection,Completed the inspection,9/13/14,9/14/14,,,,Yes,,,
278145,3DW411GP6D014394,35,11,000,0,Perform a periodic inspection,Completed the inspection,1/14/19,1/28/19,,,,Yes,,,
278146,3MN3UKFP6G039153,35,11,070,B,System or component worn or broken,Removed and Replaced the system or component,2/8/15,2/9/15,,,,,Yes,,
278147,3DW3W6BP6D303116,35,11,000,0,Perform a periodic inspection,Completed the inspection,10/30/18,10/30/18,,,,Yes,,,
278148,3MN2JK6P6G145324,35,11,000,0,Perform a periodic inspection,Completed the inspection,5/25/14,6/4/14,,,,Yes,,,
278149,3MN21KLP6G054300,35,11,000,0,Perform a periodic inspection,Completed the inspection,2/23/14,2/25/14,,,,Yes,,,
278150,3DW3QUFP6D251375,35,12,180,B,"A system, component, part, or surface on the aircraft required attention",Removed and replaced system or component,9/8/18,9/14/18,,,,,Yes,,
278151,3DW34HWP6D302106,35,11,000,0,Perform Weapon Release Check,Jettisoned weapon or performed required check,10/29/17,10/30/17,,,,Yes,,Yes,
278152,3DW2OTYP6D088464,35,11,190,C,"A system, component, part, or surface on the aircraft required attention",Observed the area and attempted to repair it,3/29/17,4/12/17,,,,,Yes,,
278153,3MN56Y0P6G272A03,35,23,105,R,"A system, component, part, or surface on the aircraft required attention",Removed and replaced system or component,9/29/15,10/6/15,,,,,Yes,,
278154,3MN34BUP6G256297,35,11,000,0,Perform a periodic inspection,Completed the inspection,9/13/14,9/14/14,,,,Yes,,,
278155,3MN3UWEP6G040457,35,11,000,0,"A system, component, part, or surface on the aircraft required attention",Observed the area and attempted to repair it,2/9/15,2/20/15,,,,,Yes,,
278156,3DW2NVAP6D067537,35,11,956,C,"A system, component, part, or surface on the aircraft required attention",Observed the area and attempted to repair it,3/8/17,4/25/17,,,,,Yes,,
278157,3DW36CAP6D320232,35,11,020,B,System or component worn or broken,Removed and Replaced the system or component,11/16/17,11/17/17,,,,,Yes,,
278158,3DW3DGKP6D092537,35,11,000,0,Perform verification of component or system,Completed the component or system test,4/2/18,4/3/18,,,,Yes,,,
278159,3DW2TJUP6D162027,35,11,000,0,Perform a periodic inspection,Completed the inspection,6/11/17,6/13/17,,,,Yes,,,
278160,3MN3UX8P6G040470,35,11,000,0,"A system, component, part, or surface on the aircraft required attention",Observed the area and attempted to repair it,2/9/15,2/10/15,,,,,Yes,,
278161,3MN4IWSP6G150373,35,11,000,0,Perform Weapon Release Check,Jettisoned weapon or performed required check,5/30/15,6/1/15,,,,Yes,,Yes,
278162,3MP9CMTP6G085791,35,11,000,0,"A system, component, part, or surface on the aircraft required attention",Removed and replaced system or component,3/26/14,3/26/14,,,,,Yes,,
278163,3MN1W3BP6G023042,35,11,000,0,Perform an aircraft transfer or acceptance inspection,Completed the inspection,1/23/14,1/27/14,,,,Yes,,,
278164,3DW3B7RP6D063245,35,11,000,0,Perform a periodic inspection,Completed the inspection,3/4/18,3/4/18,,,,Yes,,,
278165,3DW3SBCP6D262438,35,11,000,0,Perform a periodic inspection,Completed the inspection,9/19/18,9/23/18,,,,Yes,,,
278166,3DW3AIZP6D043500,35,11,956,C,"A system, component, part, or surface on the aircraft required attention",Observed the area and attempted to repair it,2/12/18,2/13/18,,,,,Yes,,
278167,3MN5E1QP6G311291,35,11,000,0,Perform a periodic inspection,Completed the inspection,11/7/15,11/8/15,,,,Yes,,,
278168,3DW3V54P6D294182,35,11,429,C,Chipped or worn paint identified on the aircraft,Repair chip and paint the area,10/21/18,10/26/18,,,,Yes,,,
278169,3MN6YV3P6G247277,35,12,780,B,"A system, component, part, or surface on the aircraft required attention",Removed and replaced system or component,9/2/16,9/3/16,,,,,Yes,,
278170,3DW3F4SP6D119118,35,11,000,0,Perform a periodic inspection,Completed the inspection,4/29/18,5/2/18,,,,Yes,,,
278171,3DW42MYP6D036571,35,11,000,0,Perform a periodic inspection,Completed the inspection,2/5/19,2/6/19,,,,Yes,,,
278172,3MN62W9P6G084511,35,11,374,B,"A system, component, part, or surface on the aircraft required attention",Removed and replaced system or component,3/24/16,3/29/16,,,,,Yes,,
278173,3DW2Y0XP6D214419,35,11,000,0,Perform verification of component or system,Completed the component or system test,8/2/17,8/3/17,,,,Yes,,,
278174,3DW36GZP6D321315,35,11,425,C,"A system, component, part, or surface on the aircraft required attention",Observed the area and attempted to repair it,11/17/17,11/20/17,,,,,Yes,,
278175,3MN32OQP6G247036,35,23,295,R,Code: JDVBHP was set.,Removed and Replaced failed part or assembly,9/4/14,9/4/14,,,,,Yes,,Yes
278176,3DW2W4RP6D191137,35,11,447,C,System or component failed ,Worked on system component; repair may or may not have been successful,7/10/17,7/10/17,,,,,,,Yes
278177,3MN6WZRP6G238432,35,11,425,C,Chipped or worn paint identified on the aircraft,Repair chip and paint the area,8/25/16,8/25/16,,,,Yes,,,
