,job_code,aircraft,transaction_code,malfunction_code,action_taken_code,description_of_problem,correction_of_problem,received_date,completion_date,corrosion,bare_metal,corrosion_prevention_treatment,routine_maintenance,unscheduled_maintenance,mission_related_maintenance,failure
81599,3BTZF98PE3066037,11,11,170,Z,Bare Metal located on fastners or panels,"Sanded, primed, and painted the bare area",3/7/18,3/21/18,,Yes,,,,,
81600,3BTY496PE3271167,11,11,170,Z,Bare Metal located on fastners or panels,"Sanded, primed, and painted the bare area",9/28/17,9/30/17,,Yes,,,,,
81601,3BU1NPKPE3002197,11,11,000,0,Perform a periodic inspection,Completed the inspection,1/2/19,1/2/19,,,,Yes,,,
81602,3BTSE88PE3013415,11,11,000,0,Perform a periodic inspection,Completed the inspection,1/13/16,1/19/16,,,,Yes,,,
81603,3BU0P8APE3222015,11,11,000,0,Perform a periodic inspection,Completed the inspection,8/10/18,8/10/18,,,,Yes,,,
81604,3BTZT7NPE3119590,11,11,000,0,Perform a periodic inspection,Completed the inspection,4/29/18,5/7/18,,,,Yes,,,
81605,3BTZF8DPE3066013,11,11,170,Z,Bare Metal located on fastners or panels,"Sanded, primed, and painted the bare area",3/7/18,3/21/18,,Yes,,,,,
81606,3BU18EHPE3297010,11,11,020,C,System or component worn or broken,Worked on and repaired component/system,10/24/18,10/24/18,,,,,Yes,,
81607,3BTVL3YPE3332223,11,11,000,0,Perform a periodic inspection,Completed the inspection,11/27/16,11/29/16,,,,Yes,,,
81608,3BTUVD4PE3255511,11,11,000,0,Perform a periodic inspection,Completed the inspection,9/11/16,9/12/16,,,,Yes,,,
81609,3BY0M0IPE3283935,11,11,000,0,Perform a periodic inspection,Completed the inspection,10/10/18,10/11/18,,,,Yes,,,
81610,3BTUJG2PE3222328,11,11,000,0,Perform a periodic inspection,Completed the inspection,8/9/16,8/9/16,,,,Yes,,,
81611,3BTZF91PE3066032,11,11,170,Z,Bare Metal located on fastners or panels,"Sanded, primed, and painted the bare area",3/7/18,3/21/18,,Yes,,,,,
81612,3BTT5M6PE3077270,11,47,,C,Perform a periodic inspection,Completed the inspection,3/17/16,3/31/16,,,,Yes,,,
81613,3BTYMWPPE3333557,11,11,000,0,Perform a periodic inspection,Completed the inspection,11/29/17,11/29/17,,,,Yes,,,
81614,3BTVPW9PE3347267,11,11,000,0,Perform a periodic inspection,Completed the inspection,12/12/16,12/12/16,,,,Yes,,,
81615,3BU28ILPE3035356,11,11,425,C,Bare Metal located on fastners or panels,"Sanded, primed, and painted the bare area",3/26/19,3/31/19,,Yes,,,,,
81616,3BTUAOZPE3199189,11,11,000,0,Perform a periodic inspection,Completed the inspection,7/17/16,7/25/16,,,,Yes,,,
81617,3BTZT22PE3120288,11,11,020,B,"A system, component, part, or surface on the aircraft required attention",Removed and replaced system or component,4/27/18,6/12/18,,,,,Yes,,
