,job_code,aircraft,transaction_code,malfunction_code,action_taken_code,description_of_problem,correction_of_problem,received_date,completion_date,corrosion,bare_metal,corrosion_prevention_treatment,routine_maintenance,unscheduled_maintenance,mission_related_maintenance,failure
339759,3USXXH1FE8355470,42,11,000,0,Perform a periodic inspection,Completed the inspection,12/21/15,12/28/15,,,,Yes,,,
339760,3VZ5WAJPZS316511,42,11,000,0,Perform a periodic inspection,Completed the inspection,11/12/18,11/14/18,,,,Yes,,,
339761,3USXD1MFE8299428,42,11,000,0,Perform a periodic inspection,Completed the inspection,10/26/14,10/29/14,,,,Yes,,,
339762,0NGHY4SWC8118575,42,11,000,N,System or component worn or broken,Worked on and repaired component/system,4/26/12,2/27/14,,,,,Yes,,
339763,3W16XQ8PZS027653,42,11,000,0,Perform a periodic inspection,Completed the inspection,1/27/19,1/27/19,,,,Yes,,,
339764,3USX4R0FE8172369,42,23,255,R,Bad Battery,Repaired or replaced battery,6/21/14,6/21/14,,,,,Yes,,
339765,3USWX0SFE8059080,42,11,000,N,Perform a periodic inspection,Completed the inspection,2/27/14,12/5/14,,,,Yes,,,
339766,3USXSE5FE8274132,42,11,000,0,Perform a periodic inspection,Completed the inspection,10/1/15,10/4/15,,,,Yes,,,
339767,3VZ5RPYPZS289150,42,11,000,0,Aircraft weapon configuration change requested,Aircraft configuration change completed,10/16/18,10/18/18,,,,,,Yes,
339768,3USX52LFE8178463,42,11,W46,B,"A system, component, part, or surface on the aircraft required attention",Observed the area and attempted to repair it,6/27/14,6/30/14,,,,,Yes,,
339769,3USY7NFFE8167307,42,11,000,0,"A system, component, part, or surface on the aircraft required attention",Observed the area and attempted to repair it,6/15/16,6/15/16,,,,,Yes,,
339770,3USXF45FE8344411,42,41,,C,Perform a periodic inspection,Completed the inspection,12/5/14,1/27/15,,,,Yes,,,
339771,3USYMMYFE8118439,42,11,000,N,Bare Metal found on a door,"Sanded, primed, and painted the bare area",4/28/17,5/10/17,,Yes,,,,,
339772,3VZ5OJ6PZS275561,42,11,000,0,Perform a periodic inspection,Completed the inspection,10/2/18,10/2/18,,,,Yes,,,
339773,3USXDELFE8302038,42,11,000,0,Perform corrosion prevention treatment on the aircraft,Performed corrosion prevention,10/29/14,10/29/14,,,Yes,,,,
339774,3USXF95FE8345A00,42,11,000,0,Perform a phase inspection,Completed the inspection,12/11/14,12/15/14,,,,Yes,,,
339775,3VZ5UK2PZS308114,42,11,000,0,Perform a periodic inspection,Completed the inspection,11/4/18,11/10/18,,,,Yes,,,
339776,3USY28GFE8061062,42,11,958,C,"A system, component, part, or surface on the aircraft required attention",Observed the area and attempted to repair it,3/1/16,3/3/16,,,,,Yes,,
339777,3USXDFAFE8302070,42,11,070,B,"A system, component, part, or surface on the aircraft required attention",Observed the area and attempted to repair it,10/29/14,11/17/14,,,,,Yes,,
339778,3USXK5BFE8061442,42,11,000,0,Perform a periodic inspection,Completed the inspection,3/2/15,3/4/15,,,,Yes,,,
339779,3VZ5ZPFPZS334503,42,23,846,R,"A system, component, part, or surface on the aircraft required attention",Removed and replaced system or component,11/30/18,12/1/18,,,,,Yes,,
339780,3VZ3UHMPZS341068,42,11,000,0,Perform a periodic inspection,Completed the inspection,12/7/17,12/7/17,,,,Yes,,,
339781,3VZ4QYOPZS122352,42,11,000,0,Perform a periodic inspection,Completed the inspection,5/2/18,5/2/18,,,,Yes,,,
339782,3VZ6IZCPZS078101,42,11,447,C,"A system, component, part, or surface on the aircraft required attention",Observed the area and attempted to repair it,3/19/19,3/22/19,,,,,Yes,,
339783,3USY7RAFE8169360,42,23,956,R,Code: MZVBQG was set.,Removed and replaced system or component,6/17/16,6/17/16,,,,,Yes,Yes,
339784,3USX8ZKFE8224252,42,11,020,B,"A system, component, part, or surface on the aircraft required attention",Removed and replaced system or component,8/12/14,8/13/14,,,,,Yes,,
339785,3VZ4IYPPZS092163,42,11,000,0,Perform a periodic inspection,Completed the inspection,4/1/18,4/3/18,,,,Yes,,,
339786,3VZ6K7NPZS084172,42,23,028,R,"A system, component, part, or surface on the aircraft required attention",Removed and replaced system or component,3/25/19,3/25/19,,,,,Yes,,
339787,3USX8BZFE8216510,42,11,070,B,System or component worn or broken,Removed and Replaced the system or component,8/4/14,8/5/14,,,,,Yes,,
339788,3USX2KSFE8134082,42,11,000,0,Perform a periodic inspection,Completed the inspection,5/14/14,5/16/14,,,,Yes,,,
339789,3USYLXEFE8093090,42,11,000,0,Perform a periodic inspection,Completed the inspection,4/3/17,4/3/17,,,,Yes,,,
339790,3VZ4ZB2PZS168479,42,11,000,0,Perform a periodic inspection,Completed the inspection,6/17/18,6/17/18,,,,Yes,,,
339791,3VZ5WEVPZS315504,42,11,128,C,"A system, component, part, or surface on the aircraft required attention",Observed the area and attempted to repair it,11/13/18,11/14/18,,,,,Yes,,
339792,3VZ3UFKPZS341006,42,11,000,0,Aircraft weapon configuration change requested,Aircraft configuration change completed,12/7/17,12/8/17,,,,,,Yes,
339793,3USXQDGFE8230210,42,11,170,C,Corrosion found on door panel,Treated and removed the corrosion,8/18/15,8/31/15,Yes,,,,,,
339794,3USYGF7FE8344094,42,12,780,B,"A system, component, part, or surface on the aircraft required attention",Observed the area and attempted to repair it,12/9/16,12/12/16,,,,,Yes,,
339795,3USX6KVFE8196408,42,11,000,0,Perform a periodic inspection,Completed the inspection,7/15/14,7/15/14,,,,Yes,,,
339796,3USXIEXFE8034160,42,11,000,0,Perform a periodic inspection,Completed the inspection,2/3/15,2/3/15,,,,Yes,,,
339797,3USXD1IFE8299427,42,11,000,0,Perform a periodic inspection,Completed the inspection,10/26/14,10/29/14,,,,Yes,,,
339798,3USV8XUFE8029422,42,11,000,0,Perform a periodic inspection,Completed the inspection,1/29/12,2/1/12,,,,Yes,,,
339799,3VZ4085PZS011192,42,41,,C,Perform a wiring inspection,Completed the inspection,1/11/18,10/1/18,,,,Yes,,,
339800,3USXPKEFE8211392,42,11,000,0,Perform a periodic inspection,Completed the inspection,7/30/15,8/4/15,,,,Yes,,,
339801,3USXI1BFE8028543,42,11,105,C,"A system, component, part, or surface on the aircraft required attention",Observed the area and attempted to repair it,1/28/15,1/30/15,,,,,Yes,,
339802,3VZ66GMPZS021348,42,11,000,0,Perform a periodic inspection,Completed the inspection,1/21/19,1/23/19,,,,Yes,,,
339803,3VZ5ZXIPZS337015,42,11,425,C,Bare Metal located on the fuselage,"Sanded, primed, and painted the bare area",12/3/18,12/26/18,,Yes,,,,,
339804,3USXNNPFE8170397,42,11,000,0,Perform a periodic inspection,Completed the inspection,6/19/15,6/19/15,,,,Yes,,,
339805,3UV6WCIFE8101613,42,11,000,0,Perform a periodic inspection,Completed the inspection,4/10/16,4/10/16,,,,Yes,,,
339806,3VZ41BRPZS018341,42,11,000,0,Perform a periodic inspection,Completed the inspection,1/18/18,1/19/18,,,,Yes,,,
339807,3USXB26FE8265491,42,11,000,0,Perform a periodic inspection,Completed the inspection,9/22/14,10/2/14,,,,Yes,,,
339808,3USV8DIFE8023153,42,11,135,F,System or component failed ,Worked on system component; repair may or may not have been successful,1/23/12,1/24/12,,,,,,,Yes
339809,3USXQCSFE8229195,42,11,000,0,Perform an aircraft transfer or acceptance inspection,Completed the inspection,8/17/15,8/30/15,,,,Yes,,,
339810,3USWXBRFE8061164,42,11,000,0,Perform a periodic inspection,Completed the inspection,3/2/14,3/2/14,,,,Yes,,,
339811,3VZ6DSGPZS059158,42,11,000,0,Perform verification of component or system,Completed the component or system test,2/28/19,3/1/19,,,,Yes,,,
339812,3VZ6FIXPZS066527,42,11,447,C,"A system, component, part, or surface on the aircraft required attention",Observed the area and attempted to repair it,3/7/19,3/22/19,,,,,Yes,,
339813,3USXWFTFE8337432,42,23,956,R,"A system, component, part, or surface on the aircraft required attention",Removed and replaced system or component,12/3/15,12/15/15,,,,,Yes,,
339814,3VZ3VX9PZS351399,42,11,000,0,Perform a periodic inspection,Completed the inspection,12/17/17,12/18/17,,,,Yes,,,
339815,3VZ52UIPZS186298,42,11,000,0,Perform a periodic inspection,Completed the inspection,7/5/18,7/5/18,,,,Yes,,,
339816,3VZ5FOUPZS239276,42,23,W52,R,System or component worn or broken,Removed and Replaced the system or component,8/27/18,9/14/18,,,,,Yes,,
339817,3VZ5FDIPZS238050,42,11,000,0,Perform a periodic inspection,Completed the inspection,8/26/18,8/26/18,,,,Yes,,,
339818,3USXPKFFE8211392,42,11,000,0,Perform a periodic inspection,Completed the inspection,7/30/15,7/31/15,,,,Yes,,,
339819,3USYML7FE8117398,42,11,000,0,Perform a periodic inspection,Completed the inspection,4/27/17,5/2/17,,,,Yes,,,
339820,3USX49YFE8143370,42,23,787,R,"A system, component, part, or surface on the aircraft required attention",Removed and replaced system or component,5/23/14,5/30/14,,,,,Yes,,
339821,3USXVACFE8313020,42,11,105,C,Bare Metal found somewhere on the aircraft,"Sanded, primed, and painted the bare area",11/9/15,12/2/15,,Yes,,,,,
339822,3USYB1FFE8232109,42,11,000,0,Perform a periodic inspection,Completed the inspection,8/19/16,8/19/16,,,,Yes,,,
339823,3USXOWNFE8198598,42,11,000,0,Perform a periodic inspection,Completed the inspection,7/17/15,7/19/15,,,,Yes,,,
339824,3VZ339WPZS204408,42,11,000,0,Perform a periodic inspection,Completed the inspection,7/23/17,7/23/17,,,,Yes,,,
339825,3USYGOWFE8348274,42,11,000,0,"A system, component, part, or surface on the aircraft required attention",Observed the area and attempted to repair it,12/13/16,12/13/16,,,,,Yes,,
339826,2X1I345FED301276,42,23,956,R,Code: HPUXZJ was set.,Removed and Replaced failed part or assembly,4/6/15,4/6/15,,,,,Yes,,Yes
339827,3USWX13FE8059077,42,11,170,Z,Corrosion found somewhere on the aircraft ,Treated and removed the corrosion,2/27/14,3/13/14,Yes,,,,,Yes,
339828,3VZ6LY1PZS091370,42,11,000,0,Perform a periodic inspection,Completed the inspection,4/1/19,4/4/19,,,,Yes,,,
339829,3VZ5BLIPZS224376,42,11,000,0,Perform a periodic inspection,Completed the inspection,8/12/18,8/13/18,,,,Yes,,,
339830,3VZ4WMHPZS152480,42,11,000,0,Perform system or component checks ,Completed the component or system test,6/1/18,6/1/18,,,,Yes,,,
339831,3VZ4R7ZPZS123478,42,11,000,0,Aircraft weapon configuration change requested,Aircraft configuration change completed,5/3/18,5/7/18,,,,,,Yes,
339832,3VZ2VN7PZS169473,42,11,000,0,Perform a periodic inspection,Completed the inspection,6/18/17,6/21/17,,,,Yes,,,
339833,3USY6MOFE8158063,42,11,000,0,"A system, component, part, or surface on the aircraft required attention",Observed the area and attempted to repair it,6/6/16,6/6/16,,,,,Yes,,
339834,3USXBD3FE8274113,42,11,000,0,Perform a periodic inspection,Completed the inspection,10/1/14,10/13/14,,,,Yes,,,
339835,3USXK5DFE8061443,42,11,000,0,Perform a periodic inspection,Completed the inspection,3/2/15,3/2/15,,,,Yes,,,
339836,3VZ3EMGPZS253467,42,11,020,C,"A system, component, part, or surface on the aircraft required attention",Removed and replaced system or component,9/10/17,9/26/17,,,,,Yes,,
339837,3VZ63UTPZS007006,42,11,000,0,Perform a periodic inspection,Completed the inspection,1/7/19,1/13/19,,,,Yes,,,
339838,0NGI83HWC8037512,42,11,000,0,Perform a periodic inspection,Completed the inspection,2/6/13,2/26/13,,,,Yes,,,
339839,3W16YEZPZS035608,42,11,000,0,Perform a periodic inspection,Completed the inspection,2/4/19,2/4/19,,,,Yes,,,
339840,3VZ6QO4PZS109449,42,11,000,0,Perform verification of component or system,Completed the component or system test,4/19/19,4/29/19,,,,Yes,,,
339841,3USY7H6FE8166237,42,11,020,C,"A system, component, part, or surface on the aircraft required attention",Observed the area and attempted to repair it,6/14/16,6/15/16,,,,,Yes,,
339842,3USYK7VFE8048119,42,11,000,0,Perform a periodic inspection,Completed the inspection,2/17/17,2/17/17,,,,Yes,,,
339843,3VZ3TUKPZS339198,42,11,000,0,Perform a periodic inspection,Completed the inspection,12/5/17,12/11/17,,,,Yes,,,
339844,3USYGFIFE8344100,42,11,000,0,Perform a periodic inspection,Completed the inspection,12/9/16,12/11/16,,,,Yes,,,
339845,3USXF46FE8344405,42,11,000,N,Perform a phase inspection,Completed the inspection,12/5/14,3/18/15,,,,Yes,,,
339846,3USXF48FE8344413,42,47,,C,Perform a phase inspection,Completed the inspection,12/5/14,1/21/15,,,,Yes,,,
339847,3VZ2OZWPZS137206,42,11,000,0,Perform a periodic inspection,Completed the inspection,5/17/17,6/20/17,,,,Yes,,,
339848,3VZ2RHOPZS147431,42,11,020,B,System or component worn or broken,Removed and Replaced the system or component,5/27/17,7/3/17,,,,,Yes,,
339849,3VZ32MGPZS200011,42,11,381,C,"A system, component, part, or surface on the aircraft required attention",Observed the area and attempted to repair it,7/19/17,7/21/17,,,,,Yes,,
339850,2X1I1YEFED301142,42,23,295,R,"A system, component, part, or surface on the aircraft required attention",Removed and replaced system or component,3/31/15,4/6/15,,,,,Yes,,
339851,3USXSP3FE8279350,42,11,956,C,"A system, component, part, or surface on the aircraft required attention",Observed the area and attempted to repair it,10/6/15,10/6/15,,,,,Yes,,
339852,3USXYVOFE8018523,42,11,000,0,Perform a periodic inspection,Completed the inspection,1/18/16,1/19/16,,,,Yes,,,
339853,3USXO0YFE8180064,42,11,000,0,Perform a periodic inspection,Completed the inspection,6/29/15,6/30/15,,,,Yes,,,
339854,3VZ3MPFPZS298289,42,11,105,C,"A system, component, part, or surface on the aircraft required attention",Removed and replaced system or component,10/25/17,10/25/17,,,,,Yes,,
339855,3USY02BFE8031025,42,11,000,0,Perform a periodic inspection,Completed the inspection,1/31/16,2/1/16,,,,Yes,,,
339856,3USY9GNFE8189449,42,11,956,C,"A system, component, part, or surface on the aircraft required attention",Observed the area and attempted to repair it,7/7/16,7/7/16,,,,,Yes,,
339857,3VZ34KCPZS209108,42,11,381,B,"A system, component, part, or surface on the aircraft required attention",Observed the area and attempted to repair it,7/28/17,5/15/18,,,,,Yes,,
339858,3VZ3UROPZS344266,42,11,070,C,"A system, component, part, or surface on the aircraft required attention",Observed the area and attempted to repair it,12/10/17,12/10/17,,,,,Yes,,
339859,3USX456FE8165103,42,23,956,R,Code: UXMQSK was set.,Removed and replaced system or component,6/14/14,6/16/14,,,,,Yes,,
